1,5,5
1,36,3
1,8,3
1,27,3
1,132,3
2,33,5
2,76,5
2,103,4
2,79,5
2,68,3
3,33,4
3,24,5
3,76,3
3,79,3
3,93,3
4,33,5
4,68,5
4,30,5
4,36,5
4,8,5
5,24,5
5,76,5
5,17,5
5,132,5
5,61,3
6,51,3
6,97,3
6,126,3
6,131,3
6,16,3
7,76,4
7,132,3
7,2,5
7,56,5
7,3,5
8,70,4
8,97,4
8,60,4
8,45,3
8,88,4
9,36,5
9,132,3
9,114,3
9,66,5
9,96,5
10,132,3
10,87,5
10,22,5
10,86,3
10,24,5
11,103,5
11,68,5
11,79,5
11,19,5
11,4,5
12,33,5
12,103,5
12,79,5
12,19,5
12,27,5
13,33,5
13,24,5
13,76,5
13,103,5
13,68,3
14,33,5
14,68,5
14,17,5
14,19,5
14,8,5
15,103,3
15,79,5
15,68,3
15,5,4
15,8,5
16,93,5
16,51,5
16,114,5
16,88,5
16,126,5
17,76,3
17,103,3
17,36,4
17,114,5
17,96,4
18,66,5
18,134,5
18,115,5
18,33,5
18,79,5
19,33,3
19,4,4
19,70,3
19,58,3
19,89,4
20,30,5
20,62,5
20,114,5
20,87,5
20,126,5
21,33,5
21,24,3
21,79,5
21,5,4
21,8,5
22,5,3
22,61,3
22,2,3
22,14,4
22,16,5
23,76,5
23,5,5
23,114,5
23,66,5
23,2,5
24,97,4
24,58,3
24,61,3
24,2,5
24,96,4
25,76,5
25,103,5
25,79,5
25,17,5
25,51,5
26,103,4
26,68,4
26,5,3
26,17,4
26,36,3
27,103,5
27,93,5
27,118,3
27,9,5
27,45,5
28,17,5
28,2,5
28,56,5
28,3,4
28,55,4
29,17,5
29,70,3
29,27,4
29,49,5
29,85,5
30,103,3
30,27,3
30,132,3
30,114,3
30,66,4
31,33,5
31,24,5
31,76,3
31,103,5
31,79,3
32,103,5
32,19,3
32,87,5
32,108,5
32,20,5
33,36,3
33,4,4
33,70,3
33,51,4
33,58,4
34,24,3
34,76,3
34,68,4
34,5,3
34,4,5
35,33,3
35,5,3
35,36,3
35,93,3
35,132,3
36,24,4
36,26,3
36,54,4
36,127,3
36,108,4
